stratum,level,turn,survival,ci_lo,ci_hi,n_at_risk,n_events
finality,never_reconsidered,141.0,0.8680555555555558,0.8009791811063018,0.9137281886326228,126,1
condition x model,informed / GPT-5.5,0.0,1.0,1.0,1.0,108,0
condition x model,informed / GPT-5.5,138.0,0.9907407407407407,0.9360945278193188,0.9986904998729181,108,1
condition x model,informed / GPT-5.5,144.0,0.9814814814814814,0.9279839459666301,0.9953361454286441,107,1
condition x model,informed / GPT-5.5,151.0,0.9722222222222221,0.9163572089454822,0.9909557760777585,106,1
condition x model,informed / GPT-5.5,168.0,0.9427609427609427,0.8290000411459714,0.9816448251486071,33,1
condition x model,informed / Opus-4.8,0.0,1.0,1.0,1.0,108,0
condition x model,uninformed / GPT-5.5,0.0,1.0,1.0,1.0,108,0
condition x model,uninformed / GPT-5.5,29.0,0.9907407407407407,0.9360945278193188,0.9986904998729181,108,1
condition x model,uninformed / GPT-5.5,44.0,0.9629629629629629,0.9043295032491103,0.9859360394138351,107,3
condition x model,uninformed / GPT-5.5,48.0,0.9537037037037037,0.8923519428989749,0.9804648224693066,104,1
condition x model,uninformed / GPT-5.5,49.0,0.9259259259259259,0.8573420191078777,0.9622495510695739,103,3
condition x model,uninformed / GPT-5.5,50.0,0.9166666666666666,0.845977245826714,0.9557451568046372,100,1
condition x model,uninformed / GPT-5.5,52.0,0.8981481481481481,0.8236377561927025,0.9422614940019746,99,2
condition x model,uninformed / GPT-5.5,54.0,0.8703703703703703,0.7909506132068039,0.9210954402092214,97,3
condition x model,uninformed / GPT-5.5,55.0,0.8611111111111112,0.7802414717178271,0.9138351575844672,94,1
condition x model,uninformed / GPT-5.5,57.0,0.8518518518518519,0.7696149050655807,0.9064862114516363,93,1
condition x model,uninformed / GPT-5.5,58.0,0.8333333333333334,0.7485890935143047,0.8915472613733327,92,2
condition x model,uninformed / GPT-5.5,59.0,0.8240740740740742,0.7381811129660726,0.8839676640828604,90,1
